Word,Segment,onset,offset,Order,LogFreq,LogFreq_Prev,LogFreq_Next,SndPower,Length,Position,Sentence,IsLexical,NGRAM,RNN,CFG
Alice,1,0.0459999999999994,0.608720999999999,1,8.65,0,14.56,3.6215e-07,0.562721,1,1,1,3.226499067,3.12617533885437,2.31234815438747
was,1,0.562721,0.830542999999999,2,14.56,8.65,10.69,3.8435e-09,0.267821999999999,2,1,0,0.905228728,1.69112821951994,1.35746037215629
beginning,1,0.784543,1.302929,3,10.69,14.56,16.35,3.6865e-09,0.518385999999999,3,1,1,4.446766167,4.10077065430305,5.62672201699858
to,1,1.256929,1.398925,4,16.35,10.69,13.79,3.9697e-09,0.141995999999998,4,1,0,2.537494638,3.83331272802607,5.93920098683699
get,1,1.352925,1.662327,5,13.79,16.35,13.28,3.7747e-09,0.309401999999998,5,1,0,1.023137244,1.01307558946858,2.69730386412329
very,1,1.616327,2.356749,6,13.28,13.79,9.86,4.0727e-09,0.740422000000001,6,1,1,4.259243326,4.46127416413334,4.74553240967413
tired,1,2.310749,2.845918,7,9.86,13.28,16.21,3.6641e-09,0.535169000000001,7,1,1,2.64914132,3.4897568332309,4.7496524596279
of,1,2.799918,2.984712,8,16.21,9.86,10.08,3.6231e-09,0.184793999999998,8,1,0,1.835435033,2.67702689530997,2.74943156875502
sitting,1,2.938712,3.35049,9,10.08,16.21,14.4,3.9892e-09,0.411778,9,1,1,3.898681251,5.24607184345222,3.54212545766261
by,1,3.30449,3.530082,10,14.4,10.08,13.3,3.8321e-09,0.225592,10,1,0,2.460874367,2.43941251693155,4.55645941998371
her,1,3.484082,3.700596,11,13.3,14.4,9.75,4.2513e-09,0.216514000000001,11,1,0,3.09947518,3.72466334030092,7.3370900695576
sister,1,3.654596,4.152667,12,9.75,13.3,15.08,3.8266e-09,0.498071000000001,12,1,1,0.644822784,0.510962322150026,4.78466133438016
on,1,4.106667,4.320286,13,15.08,9.75,16.96,3.9676e-09,0.213619,13,1,0,2.822781823,2.08879341388745,2.11347353844266
the,1,4.274286,4.444799,14,16.96,15.08,12.88,3.9583e-09,0.170513,14,1,0,1.551038125,1.61772806942284,4.75652297667754
bank,1,4.398799,4.831961,15,12.88,16.96,16.19,3.9305e-09,0.433161999999999,15,1,1,0.824339779,0.834124300089926,3.91237979990574
and,1,4.785961,4.954844,16,16.19,12.88,16.21,3.8435e-09,0.168882999999997,16,1,0,3.148749339,2.80846534442384,8.76653082854937
of,1,4.908844,5.080329,17,16.21,16.19,12.03,3.4868e-09,0.171484999999999,17,1,0,3.817725863,4.38598262723197,2.52332688858074
having,1,5.034329,5.481647,18,12.03,16.21,11.99,3.6273e-09,0.447317999999999,18,1,1,3.58642001,5.1113721518409,3.86272393215281
nothing,1,5.435647,5.936613,19,11.99,12.03,16.35,4.3142e-09,0.500965999999997,19,1,1,4.642029101,4.07508419410353,3.82782361712598
to,1,5.890613,6.097306,20,16.35,11.99,14.12,3.7434e-09,0.206693,20,1,0,5.451483319,4.69651320294112,3.22038205083522
do,1,6.051306,6.43947,21,14.12,16.35,12.15,3.7962e-09,0.388164,21,1,1,0.66195729,0.747471129213678,2.21961574610358
